content,score
Le cité engins agricoles ne souvre pas,0
هل يوجد في المغرب,1
Bon site on y trouve presque tous les articles.,1
"ce réseau est très bon. mais moi je veux un coupon. on menvoie un code je 
met sa passe pas. donc revoyez sa.",2
trop la classe dans jumia,2
تطبيق كويس جدا ومرن وناس ملتزمه جدا,1
C koï lidentifiant et le mot de passe  Explique moi et merci,1
Je trouve pas mal cest tout,1
حاجة مية مية مية مية المية,2
"انا عميل ليكوا بقالة كتير دلوقتي عشان اطلب اوردر يقولي مفيش توصيل للمكان 
ازاي كدة بدل ما تتقدموا بنخسرو عملاء وطالما انتوا فشلين فا اذا سوق كوم افضل 
منكوا بتتقدم مش بتتاخر",0
البرنامج ده حلو وفى تشرتات بى تى اس وانا جبت تشرتين حلوين اوى بس المفروض تجيبو حاجة تانيه زى شونط و ارمى بومب وسيت شرت لبى تى اس,2
الرجا تصحيح الأرقام على سبيل المثال 2600 دج تكتب في التطبيق 2 600 دج. من الجزائر و باللغة العربية. وشكرا,1
Je nest pas dexperience,0
مساء الخير محتاج اي حد يتواصل معايا ضروري للسؤال عن بعض الاشياء شكرا,0
"Arabic, Arabic language",1
Tablette nasco perfect délai livraison perfect bravo jumia,2
Bjr JUMIA j aime jumia mais seulement que dans la ville ou je suis ya pas jumia et ça sa nous fatigue je suis à BONGOUANOU vous pouvez regarder à partir de se numéro voir le nombre de commande effectuée pas seulement personnel parce que je parle de jumia autour de moi. Svp déposez une agence à BONGOUANOU je vous remercie,2
toop on gagne tout ce qon veux.,1
Vous faites la livraison en Algérie à GUELMA,1
لماذا لم يقبل الايميل الخاص بي,1
raw3a toooooooop,2
شكرا جزيلا ... اتمتع بخدمات ممتازة منذ 25 سنة ... تطبيق جدا رائع.,2
ممتاز بعض الشي,2
Pas mal mais le probleme c la livraison,1
Cest une bonne affaire pour tous ceux qui nont pas envie de se déplacer pour des achats,2
depuis la maj daujourdhui lapp crash en connectant,0
mmm,0
Cool rien à dire,2
Bad work,0
جميل وبسيط,2
Sa ne marche pas,0
marche pas sur Android 9 . problème de connexion,1
Kdeb fi Kdeb aucune crédibilité,0
Je remercie celui qui a eu lidée de créer Julia mais svp renvoyer un peu la qualité des petits électro ménager,1
Cest bon mais les prix sont trop élevés,1
Bien tros chouète,2
انصح بيه,2
ديبتاعتماما,0
Service nul nul nul nul nul nul,0
البرنامج حلو بس ليه مش بيدعم اللغة العربية,2
"Enfin un service qui chaque heure qui passe se bat vraiment rien que pour 
la satisfaction de sa clientèle tout en saméliorant mais tenant compte de 
lavis de sa clientèle. Toujours satisfait jai été après chaque commande 
que jai passé. Vraiment chapeau à toi jumia",2
On va voir,1
Il faut emoliore cette application,1
بلاك خريداي محتالين لصوص,0
"Jaime bien cette application, simple et pratique.",1
Perfect application,2
شركه حراميه ومحدش بيرد,0
Problème de paiement avec des coupons jai pas reçu mon produit chez moi c qui a cherché de mon produit chez la poste c koi ca il faut me dire avant je pay les frais de livraison pas de soucis,1
mauvais service,0
Cest une bonne application et même et cest un service de confiance aussi mais sincèrement je ne peux pas donner 5 étoiles a cause des prix  Cest chers quand même Et jespère que vous donnez des prix a la porté de tt le monde. Bon courage.   ALGÉRIE,1
les prix affichés doivent inclure la livraison. On se sent abusé lorsquon découvre le prix final après lajout de la livraison. Il faudra faire des efforts dans ce sens. les clients naiment pas avoir des surprises en dehors des prix affichés.,0
شركة كاذبة و محتالة وتطبيق سيئ انصح الجميع بعدم التعامل معها,0
il me donne toujours une carte net cest un trush,0
للأسف الشديد أنا من أقدم المتعاملين مع جوميا وكنت بشكر فيهم جدا و تعرضت لمشكلة كبيرة مع أحد مندوبين التوصيل الذي يتعمد تعطيل طلباتي و تعدي علينا أنا و زوجي بالسب أيضا و ذلك لأني اعترضت علي طريقته المستفزة و الكسولة فهو دائما يبعث رسالة بعدم قدرته علي التواصل معي و هو أصلا لا يتصل أبدا بي قبل التوصيل .. و للأسف الشديد اتصلت بخدمة جوميا اكتر من 4مرات للشكوي و طبعا وعدوني بالحل و تجاهلوني تماما .. مع العلم اني لي عندهم مبلغ منتج تم ارجاعه ولا أستطيع استرداده .. وحسبي الله ونعم الوكيل,0
Meilleur dans la vente et dans la livraison. Mais parfois certains articles ne sont pas commodes hein après livraison  À revoir ,1
JUMIA. Shop,1
Je peut pas installe sur mon telephone merci de me idee,0
tres bonne boutique fiable je vous la conseille,2
Propre est ce que Jumia fait troc,2
إلي حد ما تجربه ناجحه,2
ممتازين وملتزمين ,2
Bugs and plant all the time,0
Il est où le paiement à la livraison ,1
null null null,0
"Trop cool, mais ce qui membarrasse, il ny a pas de branche jumia à jacqueville",1
بيحسن من ادائه وبالنسبه لغيره فهو أفضل ولكن يجب التوسع اكثر في ادخال منتجات جديده غير موجوده علي الموقع الان,2
Combien coûte la torche multifonctionnel,2
merci à jumia chopping,2
بحييك,2
Toujours satisfait par les produits depuis 2016.,2
"Quand vous vous décidez a harceler les gens par mail, pensez a préciser les régions dans lesquelles vous intervenez ... Jai téléchargé lapplication pour rien , et vous récoltez la note de 1 ... Tant pis fallait être plus intelligent que ça , pensez a la qualité au lieu de la quantité ",0
"Rapide dans la livraison,articles de qualites assez bien.",1
top,2
Cest très magnifique jadore:,2
أكبر ولاد قحاب على وجه أرض,0
Contrôleur de qualité café et cacao,1
"ici en côte divoire, on ne parle que le français. Donc veuillez un temps soit peu nous traduire tout en français avant de publier. Merci",0
بعض المنتجات سيئه ولو طلبت اوردر فيه ٤ حاجات يجيلك على ٤ مرات مش مره واحده,1
تطبيق محترم,2
Raj3oulna 25 go b 25 dt,0
Pas malle il faut ameliorer,1
ياريت يبقي في اللغة العربية,1
Bravo :,2
ممتاز حقا هو أفضل التطبيقات,2
Pas mal mais essayé de voi les prix des articles hort dabidjan,1
Wlad l97ab,0
التطبيق ممتاز والاصناف والاسعار جيدة لكن آلية التوصيل ممكن تكون أعلى من كده بكثير,1
باين,1
Boukary,0
C la première fois,2
Vraiment du nimporte quoi  plus jamais vous allez mavoir,0
اعبر عن استيائي العميق بسبب الخداع الذي تعرضت له عند اقتناء فرشاة للاسنان اذ لا علاقة لها مع ما يتم اشهاره نوعية رديئة جدا ولا اشجع اي احد بطلبها وستكون آخر مرة اتعامل مع جوميا لانهم فعلا يستخفون بالمستهلكين .,0
"En attente de la livraison, je donnerai peut-être un 5.",2
Bilan,2
Lll WX,0
للاسف شركة جوميا رغم انتشارها الواسع الا انها اسوأ شركة في خدمة العملاء وخدمة ما بعد البيع وده اهم حاجة في اي موقع بيبيع للجمهور بضاعة لاتعاين الا بعد البيع مشكلتين ورا بعض في اسبوع واحد وعدم رد علي العميل لا من خلال الموقع ولا الصفحة ولا الخط الساخن,0
